paper_id	affiliations
raju18_interspeech	['amazon alexa machine learning', 'university of rochester', '*both authors contributed equally to this work']
he18_interspeech	['coordinated science lab, university of illinois at urbana-champaign, urbana, illinois, usa 61801', 'novumind inc, santa clara, usa 95054', 'beckman institute, university of illinois at urbana-champaign, urbana, illinois, usa 61801']
kalita18_interspeech	['indian institute of technology guwahati, guwahati-781039, india', 'indian institute of technology dharwad, dharwad-580011, india']
tabain18_interspeech	"['department of languages and linguistics, la trobe university, melbourne, australia', 'department of medicine, monash university, melbourne, australia', ""murdoch children's research institute, melbourne, australia"", 'flinders university, adelaide, australia']"
singh18_interspeech	['department of electronics and communication engineering', 'national institute of technology nagaland, chumukedima, dimapur-797103, india']
rose18_interspeech	['emeritus faculty, australian national university, australia']
sisman18_interspeech	['national university of singapore, singapore']
kim18_interspeech	['menlo school, atherton, ca, usa', 'google inc. mountain view, ca, usa']
nicolson18_interspeech	['signal processing laboratory, griffith university, brisbane, australia']
wang18c_interspeech	['adsplab/intelligent lab, school of ece, peking university, shenzhen', ', china']
zhang18d_interspeech	['multimedia signal and intelligent information processing lab', 'department of electronic engineering, tsinghua university, beijing, p.r.china']
raza18_interspeech	['information technology university, lahore, pakistan', 'european bioinformatics institute (embl-ebi), cambridge, uk', 'carnegie mellon university, pittsburgh, pa, usa']
pandey18b_interspeech	['indian institute of technology kanpur']
himawan18_interspeech	['⋆queensland university of technology, brisbane, australia', '†forest science unit, nsw department of industry-lands, australia']
matousek18_interspeech	['department of cybernetics', 'new technology for the information society (ntis)', 'faculty of applied sciences, university of west bohemia, pilsen, czech rep.']
shen18_interspeech	['samsung research america, mountain view, ca, usa']
xu18_interspeech	['school of computer science and engineering, nanyang technological university, singapore', 'department of electrical and computer engineering, national university of singapore, singapore']
jung18_interspeech	['school of electrical engineering, kaist, daejeon, south korea']
zhang18e_interspeech	['multimedia signal and intelligent information processing lab', 'department of electronic engineering, tsinghua university, beijing, p.r.china']
verwimp18_interspeech	['esat – psi, ku leuven, belgium']
wan18_interspeech	['cambridge university engineering department, uk']
raj18_interspeech	['samsung research institute india - bangalore']
zhu18_interspeech	['department of computer science & engineering', 'the hong kong university of science & technology', 'huawei noahs ark research lab, hong kong, china', 'center for language and speech processing & human language technology center of excellence', 'the johns hopkins university, usa']
mass18_interspeech	['konopnicki', 'ibm research, haifa, israel']
mimura18_interspeech	['kyoto university, school of informatics,', 'sakyo-ku, kyoto 606-8501, japan']
long18_interspeech	['shnu-unisound joint laboratory of natural human-computer interaction, shanghai normal', 'university, shanghai, china', 'beijing unisound information technology co., ltd. beijing, china']
mateju18_interspeech	['faculty of mechatronics, informatics and interdisciplinary studies,', 'technical university of liberec, studentska 2', ' 17 liberec, czech republic']
srivastava18_interspeech	['microsoft research india']
gowri18_interspeech	['center for computational engineering and networking (cen), amrita school of engineering,', 'coimbatore, amrita vishwa vidyapeetham, india']
govender18_interspeech	['the centre for speech technology research, university of edinburgh, united kingdom']
m18b_interspeech	['department of computer science and engineering', 'indian institute of technology madras']
thomas18_interspeech	['indian institute of technology madras, india']
feng18b_interspeech	['deparment of electronic engineering, the chinese university of hong kong, hong kong']
chanchaochai18_interspeech	"['linguistic data consortium, university of pennsylvania, u.s.a.', 'school of foreign languages, shanghai jiao tong university, p.r.c.', ""school of foreign studies, xi'an jiaotong university, p.r.c.""]"
jprakash18_interspeech	['indian institute of technology, madras, india', 'government college of engineering, salem, india']
liu18_interspeech	['iflytek research, iflytek co., ltd.', 'national engineering laboratory of speech and language information processing,', 'university of science and technology of china, hefei, p.r.china']
zhou18c_interspeech	['national engineering laboratory for speech and language information processing,', 'university of science and technology of china, hefei, p.r. china']
govender18b_interspeech	['the centre for speech technology research, university of edinburgh, united kingdom']
biasuttolervat18_interspeech	['universite de lorraine, cnrs, inria, loria, f-54000 nancy, france']
dawalatabad18_interspeech	['indian institute of technology madras, india']
chen18c_interspeech	['alibaba group, p r. china']
wang18d_interspeech	['tencent ai lab, shenzhen, china', 'tencent ai lab, bellevue wa, usa', 'department of computer science and engineering, shanghai jiao tong university, shanghai, china']
novoselov18_interspeech	['stc ltd., st. petersburg, russia', 'itmo university, st. petersburg, russia']
wu18_interspeech	['graduate school of informatics, nagoya university, japan', 'information technology center, nagoya university, japan', 'graduate school of information science, nagoya university, japan']
fukuda18_interspeech	[',2,3ibm research ai', '†google']
beck18_interspeech	['human language technology and pattern recognition, computer science department,', 'rwth aachen university', ' aachen, germany']
liou18_interspeech	
haider18_interspeech	['iphsi, university of edinburgh, uk 2adapt centre, trinity college dublin, ireland']
pandey18c_interspeech	['department of computer science and engineering, the ohio state university, usa', ',2center for cognitive and brain sciences, the ohio state university, usa']
gong18_interspeech	['music technology group, universitat pompeu fabra, barcelona, spain']
