paper_id	affiliations	author_area_id	author_area_label
ludusan23_interspeech	['phonetics workgroup, faculty of linguistics and literary studies & citec, bielefeld university,', 'germany', 'isfas, kiel university, germany']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
lee23c_interspeech	['nist itl/iad/multimodal information group, md, usa', 'mit lincoln laboratory, lexington, ma, usa', 'u.s. department of defense, md, usa']	4	Speaker and Language Identification
cappellazzo23b_interspeech	['university of trento, trento, italy', 'carnegie mellon university, pittsburgh, pa, usa', 'fondazione bruno kessler, trento, italy']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
goel23_interspeech	['reality defender inc., usa']	5	Analysis of Speech and Audio Signals
yeshpanov23_interspeech	['institute of smart systems and artificial intelligence, nazarbayev university, kazakhstan']	7	Speech Synthesis and Spoken Language Generation
zhu23b_interspeech	['changhong ai lab (chair), sichuan changhong electronics holding group co., ltd.', 'center for robotics, university of electronic science and technology of china', 'department of electrical engineering and computer science, northwestern university, usa']	7	Speech Synthesis and Spoken Language Generation
yifan23_interspeech	['data & ai engineering system, oppo, beijing, china']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
wang23b_interspeech	['institute of microelectronics of the chinese academy of sciences, beijing, china', 'university of chinese academy of sciences, beijing, china']		
fan23_interspeech	['bytedance research']	9	Speech Recognition: Architecture, Search, and Linguistic Components
li23c_interspeech	['school of computer science and technology, fudan university, shanghai, china', 'shanghai key laboratory of intelligent information processing, fudan university, shanghai, china']	5	Analysis of Speech and Audio Signals
cumani23_interspeech	['politecnico di torino, italy']	4	Speaker and Language Identification
sanabria23_interspeech	['the university of edinburgh']	10	Speech Recognition: Technologies and Systems for New Applications
ito23_interspeech	['hosei university', ' hitachi, ltd.']	4	Speaker and Language Identification
schroter23_interspeech	['friedrich-alexander-universitat erlangen-nurnberg, pattern recognition lab', 'ws audiology, research and development, erlangen, germany']	6	Speech Coding and Enhancement
jiang23_interspeech	['school of computer and control engineering, yantai university, china', 'key laboratory of child development and learning science (southeast university), ministry of', 'education, research center for learning science, southeast university, china']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
zhao23_interspeech	['the state key laboratory of tibetan intelligent information processing and application,', 'tibetan information processing and machine translation key laboratory of qinghai province', 'school of computer and control engineering, yantai university, china', 'school of biological science and medical engineering, southeast university, china']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
adhikary23_interspeech	['michigan technological university, usa']	9	Speech Recognition: Architecture, Search, and Linguistic Components
yang23b_interspeech	['dept. of computer science and engineering, sogang university, korea', 'dept. of computer science and engineering, seoul national university, korea', 'lg electronics, korea']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
zhang23b_interspeech	['dept. of electronic engineering, tsinghua university', 'dept. of otolaryngology, beijing tongren hospital, capital medical university']	14	Special Sessions and Challenges
mamun23_interspeech	['cochlear implant processing laboratory, center for robust speech systems (crss-cilab),', 'department of electrical & computer engineering, the university of texas at dallas']	6	Speech Coding and Enhancement
oota23b_interspeech	['inria bordeaux, france,']	14	Special Sessions and Challenges
yuan23_interspeech	['university of science and technology of china, china', 'google inc., usa', 'northeastern university, usa']	5	Analysis of Speech and Audio Signals
otani23_interspeech	['department of information sciences, tokyo university of science, tokyo, japan']	1	Speech Perception, Production, and Acquisition by Human Listeners
yang23c_interspeech	['shenzhen international graduate school, tsinghua university, shenzhen, china', 'arc lab, tencent pcg', 'department of computer science and technology, tsinghua university, beijing, china']	7	Speech Synthesis and Spoken Language Generation
wu23_interspeech	['department of engineering, university of cambridge, cambridge, uk', 'department of electrical engineering, tsinghua university, beijing, china']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
zebe23_interspeech	['university of zurich']	2	Phonetics, Phonology, and Prosody
li23d_interspeech	['school of artificial intelligence, beijing university of posts and telecommunications, china']	14	Special Sessions and Challenges
hu23b_interspeech	['the chinese university of hong kong, hong kong sar, china', 'institute of software, chinese academy of sciences, china']	14	Special Sessions and Challenges
liu23b_interspeech	['qingdao university of science and technology, qingdao, china', 'national institute of information and communications technology, kyoto, japan', 'college of intelligence and computing, tianjin university, tianjin, china']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
geng23_interspeech	['the chinese university of hong kong', 'institute of software, chinese academy of sciences', 'shenzhen institute of advanced technology, chinese academy of sciences', 'tencent ai lab']	14	Special Sessions and Challenges
zhu23c_interspeech	['†', 'rosie jones', '†', '†spotify ‡georgetown university']	4	Speaker and Language Identification
addlesee23_interspeech	['heriot-watt university, united kingdom', 'amazon alexa, united kingdom']	14	Special Sessions and Challenges
kondratenko23_interspeech	['salutedevices, russia', 'nvidia, armenia,', 'laboratory of algorithms and technologies for network analysis, hse university, russia', 'department of mathematics and mechanics, moscow state university, russia']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
benway23_interspeech	['communication sciences and disorders, syracuse university, new york, usa', 'haskins laboratories, new haven, connecticut, usa', 'electrical engineering and computer science, syracuse university, new york, usa', 'communicative sciences and disorders, new york university, new york, usa']	14	Special Sessions and Challenges
sostarics23_interspeech	['northwestern university, department of linguistics']	2	Phonetics, Phonology, and Prosody
yoshinaga23_interspeech	['toyohashi university of technology, japan   2osaka university, japan', 'sophia university, japan']	1	Speech Perception, Production, and Acquisition by Human Listeners
taherian23_interspeech	['department of computer science and engineering, the ohio state university, usa', 'meta reality labs research, usa']	6	Speech Coding and Enhancement
muromachi23_interspeech	['shizuoka university, japan']	11	Spoken Dialog Systems and Conversational Analysis
geng23b_interspeech	['the chinese university of hong kong', 'institute of software, chinese academy of sciences', 'tencent ai lab']	14	Special Sessions and Challenges
cahyawijaya23_interspeech	['the hong kong university of science and technology']		
xin23_interspeech	['school of ece, peking university, shenzhen, china']	5	Analysis of Speech and Audio Signals
chen23d_interspeech	['shanghai jiao tong university', 'guangxi university', 'nanjing university']	1	Speech Perception, Production, and Acquisition by Human Listeners
ryu23_interspeech	['department of linguistics, seoul national university, republic of korea', 'department of french language education, seoul national university, republic of korea']	10	Speech Recognition: Technologies and Systems for New Applications
liu23c_interspeech	['unisound ai technology co. ltd, china', 'university of science and technology of china, china']	6	Speech Coding and Enhancement
qu23_interspeech	['carnegie mellon university', 'max planck institute', 'mohamed bin zayed university of artificial intelligence']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
gao23_interspeech	['china mobile research']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
yang23d_interspeech	['department of data science & ai, monash university']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
gao23b_interspeech	['school of computer science and communication engineering, jiangsu university, zhenjiang,', 'china', 'department of computer science, wayne state university, detroit, usa']	5	Analysis of Speech and Audio Signals
choi23b_interspeech	['department of electronic engineering hanyang university, seoul, republic of korea']	5	Analysis of Speech and Audio Signals
vaessen23_interspeech	['institute for computing and information sciences, radboud university']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
ren23_interspeech	['hunan university, china']	5	Analysis of Speech and Audio Signals
lin23d_interspeech	['department of electrical and computer engineering, national university of singapore, singapore', 'shenzhen research institute of big data, school of data science, the chinese university of hong', 'kong, shenzhen, china']	14	Special Sessions and Challenges
kim23_interspeech	['naver cloud, south korea']	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
liu23d_interspeech	['moe key lab of artificial intelligence, ai institute', 'x-lance lab, department of computer science and engineering', 'shanghai jiao tong university, shanghai, china']	7	Speech Synthesis and Spoken Language Generation
huu23_interspeech	['hanoi university of science and technology, vietnam', 'vietnam psycho-pedagogical association, vietnam']	10	Speech Recognition: Technologies and Systems for New Applications
andreev23_interspeech	['samsung ai center, moscow', 'hse university, moscow', 'skolkovo institute of science and technology, moscow', 'artificial intelligence research institute, moscow', '∗equal contribution']	6	Speech Coding and Enhancement
iashchenko23_interspeech	['vetrov24', 'samsung ai center, moscow', 'hse university, moscow', 'skolkovo institute of science and technology, moscow', 'artificial intelligence research institute, moscow', '∗equal contribution']	7	Speech Synthesis and Spoken Language Generation
wang23c_interspeech	['school of computer science and engineering, university of new south wales, australia']	7	Speech Synthesis and Spoken Language Generation
kashiwagi23_interspeech	['waseda university, japan', 'waseda research institute for science and engineering, japan']	10	Speech Recognition: Technologies and Systems for New Applications
zhang23c_interspeech	['nanyang technological university, singapore', 'huawei international, singapore', 'huawei technology, china']	14	Special Sessions and Challenges
ribeiro23_interspeech	['meta ai', 'universite de lorraine, cnrs, inria, loria, f-54000, nancy, france']	5	Analysis of Speech and Audio Signals
jiang23b_interspeech	['x-lance lab, department of computer science and engineering, shanghai jiao tong university,', 'shanghai, china', 'department of electronic engineering, shanghai jiao tong university, shanghai, china']	6	Speech Coding and Enhancement
shi23_interspeech	['bytedance research, singapore', 'bytedance research, p.r. china']	10	Speech Recognition: Technologies and Systems for New Applications
zhang23d_interspeech	['orange innovation, france', 'univ rennes, cnrs, irisa, lannion, france']	5	Analysis of Speech and Audio Signals
vandermerwe23_interspeech	['bytefuse', 'e&e engineering, stellenbosch university, south africa']	10	Speech Recognition: Technologies and Systems for New Applications
yang23e_interspeech	"[""faculty of electronic and information engineering, xi'an jiaotong university, china"", 'speech lab of damo academy, alibaba group', 'nanyang technological university, singapore']"	8	Speech Recognition: Signal Processing, Acoustic Modeling, Robustness, Adaptation
phatthiyaphaibun23_interspeech	['school of information science and technology, vistec, thailand', 'department of computer engineering chulalongkorn university, thailand', 'department of computer engineering, kasetsart university, thailand']	5	Analysis of Speech and Audio Signals
shi23b_interspeech	['speech lab of damo academy, alibaba group, china']	9	Speech Recognition: Architecture, Search, and Linguistic Components
zhang23e_interspeech	"[""school of computer science, northwestern polytechnical university, xi'an, china"", 'didi chuxing, beijing, china']"	7	Speech Synthesis and Spoken Language Generation
sun23_interspeech	['school of artificial intelligence, beijing university of posts and telecommunications, beijing,', 'china 2 teg ai, tencent inc, beijing, china']	4	Speaker and Language Identification
hsu23_interspeech	['department of computer science and information engineering', 'national cheng kung university, taiwan']		
yao23_interspeech	"[""school of marine science and technology, northwestern polytechnical university, xi'an, china"", 'horizon robotics, beijing, china', 'research and development institute of northwestern polytechnical university in shenzhen, china']"	4	Speaker and Language Identification
peyser23_interspeech	['center for data science, new york university, new york city, usa', 'google inc., u.s.a']	9	Speech Recognition: Architecture, Search, and Linguistic Components
gunason23_interspeech	['language and voice lab, reykjavik university, iceland', 'communications and signal processing group, imperial college london, uk']	7	Speech Synthesis and Spoken Language Generation
kawa23_interspeech	['wroclaw university of science and technology, wroclaw, poland']	4	Speaker and Language Identification
zhang23f_interspeech	['school of intelligence science and technology, speech and hearing research center, and key', 'laboratory of machine perception (ministry of education), peking university, beijing, china', 'national biomedical imaging center, college of future technology, peking university']	1	Speech Perception, Production, and Acquisition by Human Listeners
zhao23b_interspeech	['college of computer and information engineering, tianjin normal university, tianjin, china', 'college of computer science, zhejiang university, china', 'chair of embedded intelligence for health care and wellbeing, university of augsburg, germany', 'glam – group on language, audio, & music, imperial college london, uk']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
qiu23_interspeech	['institute of acoustics, chinese academy of sciences, china', 'university of chinese academy of sciences, china']	14	Special Sessions and Challenges
chiang23_interspeech	['national taiwan university, taiwan']	7	Speech Synthesis and Spoken Language Generation
baas23_interspeech	['medialab, department of electrical & electronic engineering, stellenbosch university, south africa']	7	Speech Synthesis and Spoken Language Generation
kim23b_interspeech	['school of electrical engineering and computer science,', 'gwangju institute of science and technology, gwangju 61005, korea']	6	Speech Coding and Enhancement
jacobs23_interspeech	['department of electrical & electronic engineering, stellenbosch university, south africa', 'universitat pompeu fabra, spain', 'african institute for mathematical sciences, cape town, south africa', 'department of mathematics & applied mathematics, university of cape town, south africa', 'voxcroft analytics, cape town, south africa (http://www.voxcroft.com)']	10	Speech Recognition: Technologies and Systems for New Applications
han23_interspeech	['institute of automation, chinese academy of sciences', 'school of artificial intelligence, university of chinese academy of sciences', 'school of future technology, university of chinese academy of sciences']	9	Speech Recognition: Architecture, Search, and Linguistic Components
roy23_interspeech	['department of electrical engineering, indian institute of technology patna, bihar-801106, india']	5	Analysis of Speech and Audio Signals
sharoni23_interspeech	['∗co-first authors', 'up·ai, israel', 'national institute of informatics, japan']	7	Speech Synthesis and Spoken Language Generation
havard23_interspeech	"['language acquisition across cultures team, laboratoire de sciences cognitives et de', ""psycholinguistique, departement d'etudes cognitives, ens, ehess, cnrs, psl university, france"", 'cognitive machine learning team, inria, paris, france', 'human ecology group, institute of evolutionary medicine, university of zurich, switzerland']"	2	Phonetics, Phonology, and Prosody
geneva23_interspeech	['iict – bulgarian academy of sciences', 'ibl – bulgarian academy of sciences,', 'fmi – sofia university, bulgaria', 'chaos', 'insait']	7	Speech Synthesis and Spoken Language Generation
swiatkowski23_interspeech	['amazon science']	7	Speech Synthesis and Spoken Language Generation
deseyssel23_interspeech	['cognitive machine learning, ens–cnrs–ehess–inria–psl research university, france', 'universite paris cite, cnrs, laboratoire de linguistique formelle, paris, france', 'faculty of linguistics and literary studies & citec, bielefeld university, germany', 'pegase, inrae, institut agro, saint-gilles, france', 'meta ai research, france']	14	Special Sessions and Challenges
swiatkowski23b_interspeech	['amazon science']	7	Speech Synthesis and Spoken Language Generation
hughes23_interspeech	['department of language and linguistic science, university of york, uk', 'oxford wave research, oxford, uk', 'netherlands forensic institute, the hague, the netherlands']	2	Phonetics, Phonology, and Prosody
thenguyen23_interspeech	['vinai research, vietnam']	7	Speech Synthesis and Spoken Language Generation
panariello23_interspeech	['eurecom, sophia antipolis, france']	6	Speech Coding and Enhancement
fang23_interspeech	['school of information science and engineering, xinjiang university, urumqi 830017, china', 'xinjiang key laboratory of signal detection and processing, urumqi 830017, china', 'department of electronic engineering, tsinghua university, beijing 100084, china', 'school of electronic science and engineering, xiamen university, xiamen 361005, china']	4	Speaker and Language Identification
peng23_interspeech	['omilia - conversational intelligence, athens, greece']	4	Speaker and Language Identification
alsenani23_interspeech	['university of glasgow, united kingdom', 'umm al-qura university, mecca, saudi arabia']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
zadorozhnyy23_interspeech	['department of mathematics, university of kentucky, lexington, usa', 'applied sciences group, microsoft corporation, redmond, usa']	6	Speech Coding and Enhancement
li23e_interspeech	['department of electrical and computer engineering, university of illinois', 'beckman institute for advanced science and technology, university of illinois', 'department of human development and family studies, university of illinois']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
huang23_interspeech	['nvidia, usa']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
fernandezlopez23_interspeech	['meta ai, uk', 'imperial college london, uk']	10	Speech Recognition: Technologies and Systems for New Applications
luo23_interspeech	['centre for digital music, queen mary university of london, uk', 'amazon alexa, cambridge, ma, usa']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
wagner23_interspeech	['technische hochschule nurnberg georg simon ohm, germany', 'friedrich-alexander-university erlangen-nurnberg, pattern recognition lab, erlangen, germany', 'intel labs']	14	Special Sessions and Challenges
lin23e_interspeech	['saarland informatics campus, germany', 'language science and technology, saarland university, germany', 'reality labs, meta inc.', 'ils, utrecht university, the netherlands']	12	Spoken Language Processing: Translation, Information Retrieval, Summarization, Resources, and Evaluation
triantafyllopoulos23_interspeech	['chair of embedded intelligence for health care and wellbeing, university of augsburg, germany', 'glam – group on language, audio, & music, imperial college london, uk']	3	Paralinguistics in Speech and Language: Human and Automatic Analysis and Processing
zhai23_interspeech	['stanford university, usa', 'university of illinois urbana-champaign, usa']	5	Analysis of Speech and Audio Signals
