paper_id	affiliations
liu19_interspeech	['national laboratory of pattern recognition, institute of automation, chinese academy of', 'sciences, china', 'school of artificial intelligence, university of chinese academy of sciences, china', 'tencent ai lab, bellevue, wa, usa', 'tencent ai lab, shenzhen, china', 'xueersi online school, china', 'kingsoft ai lab, china']
yang19_interspeech	['columbia university, usa']
dinkov19_interspeech	['faculty of mathematics and informatics, sofia university “st kliment ohridski”', 'qatar computing research institute, hbku']
an19_interspeech	['department of engineering technology, queensborough community college (cuny), usa', 'department of computer science, cuny graduate center, usa', 'department of computer and information science, brooklyn college (cuny), usa']
weninger19_interspeech	
gosztolya19_interspeech	['mta-szte research group on artificial intelligence, szeged, hungary', 'university of szeged, institute of informatics, szeged, hungary']
mori19_interspeech	['utsunomiya university, japan', 'chiba institute of technology, japan']
ludusan19_interspeech	['phonetics and phonology workgroup, faculty of linguistics and literary studies,', 'bielefeld university, germany']
truong19_interspeech	['human media interaction, university of twente, enschede, the netherlands', 'language science and technology, saarland university, saarbrucken, germany']
baird19_interspeech	['zd.b chair of embedded intelligence for health care & wellbeing, university of augsburg, germany', 'chair of health psychology, fau erlangen-nuremberg, germany', 'chair of clinical psychology and psychotherapy, university of ulm, germany', 'glam – group on language, audio and music, imperial college london, uk']
baird19b_interspeech	['zd.b chair of embedded intelligence for health care and wellbeing, univeristy of augsburg, germany', 'department of music, university of liverpool, uk', 'computer science department, columbia university, usa', 'glam – group on language, audio and music, imperial college london, uk']
niebuhr19c_interspeech	['mads clausen institute, centre for industrial electronics, university of southern denmark', 'dept. of design and communication, university of southern denmark']
vasquezcorrea19_interspeech	['pattern recognition lab, friedrich-alexander-universitat erlangen-nurnberg, erlangen, germany', 'faculty of engineering, universidad de antioquia udea, calle 70 no. 52-21, medellin, colombia']
chang19_interspeech	['graduate institute of communication engineering, national taiwan university']
meier19_interspeech	['cognitive systems lab, university of bremen, germany']
beeferman19_interspeech	['lab for social machines, mit media lab']
mdhaffar19_interspeech	['quiniou', '⋆lium - university of le mans, france', '‡ lia - university of avignon, france', 'ls2n - university of nantes , france']
marinelli19_interspeech	['signals and interactive systems lab, university of trento', 'vui inc.']
dabike19_interspeech	['department of computer science, university of sheffield, uk']
huang19b_interspeech	['department of computer science, university of sheffield, sheffield, uk']
vidal19_interspeech	['departamento de computacion, fceyn, universidad de buenos aires (uba), argentina', 'instituto de investigacion en ciencias de la computacion (icc), conicet-uba, argentina']
angerbauer19_interspeech	['institute for natural language processing (ims), university of stuttgart, germany', 'visualisation research centre (visus), university of stuttgart, germany', 'bosch center for artificial intelligence (bcai), renningen, germany']
luo19_interspeech	['mit computer science and artificial intelligence laboratory', 'ford motor company']
gutz19_interspeech	['department of communication sciences and disorders, mgh institute of health professions, usa', 'speech and hearing bioscience and technology program, harvard university, usa', 'department of communication sciences and disorders, university of texas at austin, usa', 'department of speech-language pathology, university of toronto, canada']
k19_interspeech	['indian institute of technology kharagpur, india']
heo19_interspeech	['school of computer science, university of seoul, south korea']
chen19_interspeech	['samsung research america', '\x02\x03\x04\x05\x06\x07\x05\x08', '\x0e\x05\x08\x0f\x07\x04\t\x10\x07\x05\x11\x12\x13\x04\x14\x13\x15\x05\x08', '\x0e\x14']
sharma19_interspeech	['department of electrical and computer engineering,', 'national university of singapore, singapore']
shrem19_interspeech	['department of computer science, bar-ilan university, ramat-gan, israel', 'department of linguistics, northwestern university, evanston, il, usa']
hui19_interspeech	['hkust-shenzhen research institute, shenzhen, china', 'department of industrial engineering and decision analytics, the hong kong university of', 'science and technology, hong kong, china', 'bioengineering graduate program, school of engineering, the hong kong university of science', 'and technology, hong kong, china']
shah19_interspeech	['speech research lab,', 'dhirubhai ambani institute of information and communication technology (da-iict),', 'gandhinagar, india']
shankar19_interspeech	['department of electrical and computer engineering, johns hopkins university']
mateju19_interspeech	['faculty of mechatronics, informatics and interdisciplinary studies,', 'technical university of liberec, studentska 2', ' 17 liberec, czech republic']
tang19_interspeech	['university of maryland, united states']
paul19_interspeech	['department of computer science, university of crete, greece', 'institute of applied and computational mathematics, forth, greece']
chou19_interspeech	['college of electrical engineering and computer science, national taiwan university']
lu19_interspeech	['tsinghua-cuhk joint research center for media sciences, technologies and systems,', 'graduate school at shenzhen, tsinghua university, shenzhen, china', 'beijing national research centre for information science and technology (bnrist),', 'department of computer science and technology, tsinghua university, beijing, china', 'department of systems engineering and engineering management,', 'the chinese university of hong kong, shatin, n.t., hong kong sar, china', 'tencent ai lab, tencent, shenzhen, china']
tobing19_interspeech	['graduate school of information science, nagoya university, japan', 'information technology center, nagoya university, japan']
kaneko19_interspeech	['ntt communication science laboratories, ntt corporation, japan']
kurita19_interspeech	['nagoya university, furo-cho, chikusa-ku, nagoya, aichi, japan']
zhao19b_interspeech	['machine intelligence technology, alibaba group']
juvela19_interspeech	['aalto university, finland', 'national institute of informatics, japan', 'university of edinburgh, uk']
yamamoto19b_interspeech	['line corp., tokyo, japan', 'naver corp., seongnam, korea']
mohammadi19_interspeech	['oben, inc.']
huang19c_interspeech	['academia sinica, taiwan', 'nagoya university, japan']
liu19b_interspeech	['human-computer communications laboratory,', 'the chinese university of hong kong, shatin, n.t., hong kong sar, china', 'speechx limited, shenzhen, china']
chen19b_interspeech	
ding19_interspeech	['department of computer science and engineering, texas a&m university, usa']
stephenson19_interspeech	['intel ai lab, santa clara, ca, usa']
dey19_interspeech	['idiap research institute', 'adobe research']
